subj,states,choices,rewards,trial
0,0,1,0,0
0,0,1,1,1
0,0,0,0,2
0,0,1,1,3
0,0,1,1,4
0,0,1,1,5
0,0,1,1,6
0,0,1,0,7
0,0,1,1,8
0,0,1,1,9
0,0,1,1,10
0,0,1,1,11
0,0,1,1,12
0,0,1,0,13
0,0,1,1,14
0,0,1,1,15
0,0,1,1,16
0,0,1,1,17
0,0,1,0,18
0,0,1,1,19
0,0,1,1,20
0,0,1,0,21
0,0,0,0,22
0,0,0,1,23
0,0,1,0,24
0,0,1,1,25
0,0,1,1,26
0,0,1,1,27
0,0,1,1,28
1,0,1,0,0
1,0,0,0,1
1,0,0,0,2
1,0,1,1,3
1,0,1,0,4
1,0,0,1,5
1,0,1,0,6
1,0,1,1,7
1,0,0,0,8
1,0,0,1,9
1,0,1,0,10
1,0,0,1,11
1,0,0,1,12
1,0,1,1,13
1,0,1,1,14
1,0,0,1,15
1,0,1,0,16
1,0,0,0,17
1,0,0,1,18
1,0,1,1,19
1,0,0,1,20
1,0,0,1,21
1,0,1,0,22
1,0,0,0,23
1,0,0,1,24
1,0,1,0,25
1,0,0,0,26
1,0,0,0,27
1,0,0,0,28
1,0,1,1,29
2,0,0,0,0
2,0,0,0,1
2,0,1,1,2
2,0,1,1,3
2,0,1,0,4
2,0,1,1,5
2,0,0,0,6
2,0,1,1,7
2,0,0,1,8
2,0,0,0,9
2,0,1,1,10
2,0,0,0,11
2,0,1,1,12
2,0,1,1,13
2,0,0,0,14
2,0,0,0,15
2,0,1,1,16
2,0,0,0,17
2,0,1,1,18
2,0,1,1,19
2,0,1,1,20
2,0,1,1,21
2,0,1,1,22
2,0,1,1,23
2,0,0,0,24
2,0,0,0,25
2,0,1,1,26
2,0,1,1,27
2,0,1,0,28
3,0,1,1,0
3,0,0,0,1
3,0,0,0,2
3,0,1,1,3
3,0,0,0,4
3,0,0,0,5
3,0,0,1,6
3,0,1,1,7
3,0,0,1,8
3,0,0,1,9
3,0,0,0,10
3,0,1,0,11
3,0,0,1,12
3,0,0,1,13
3,0,0,1,14
3,0,0,1,15
3,0,1,1,16
3,0,1,1,17
3,0,0,0,18
3,0,0,1,19
3,0,1,0,20
3,0,1,1,21
3,0,0,0,22
3,0,0,0,23
3,0,0,1,24
3,0,0,1,25
3,0,1,0,26
3,0,0,1,27
3,0,0,1,28
3,0,0,0,29
4,0,1,1,0
4,0,1,1,1
4,0,1,0,2
4,0,0,0,3
4,0,0,0,4
